episode,steps,score,coins,kills,invalid_moves,killed,suicide,episode_reward,decision_time_mean,decision_time_max,path_efficiency
86,5,1,1,0,0,True,True,-80.3,0.00019907942041754722,0.00024843914434313774,0.0
87,23,2,2,0,0,True,True,-70.5,0.00024223598935033965,0.0006041079759597778,0.043478260869565216
88,5,1,1,0,0,True,True,-80.3,0.00019412534311413765,0.00023329909890890121,0.4
89,9,1,1,0,0,True,True,-80.4,0.00027018676822384197,0.0005562780424952507,0.3333333333333333
90,5,1,1,0,0,True,True,-80.2,0.00020014317706227303,0.00023327907547354698,0.0
91,7,0,0,0,0,True,True,-90.3,0.00020202681688325747,0.00024367030709981918
92,5,1,1,0,0,True,True,-80.3,0.00021219905465841293,0.00024464912712574005,0.0
93,10,2,2,0,0,True,True,-70.5,0.00022853538393974304,0.00029129907488822937,0.2
94,5,0,0,0,0,True,True,-90.3,0.00020817900076508522,0.0002513490617275238
95,15,2,2,0,0,True,True,-70.6,0.00026832039778431255,0.0006309580057859421,0.06666666666666667
96,6,2,2,0,0,True,True,-70.19999999999999,0.00027904232653478783,0.0006166580133140087,0.5
97,41,5,5,0,0,True,True,-41.10000000000001,0.00026116738232170666,0.0006810477934777737,0.2682926829268293
98,8,1,1,0,0,True,True,-80.5,0.0002324816887266934,0.0002843090333044529,0.25
99,6,1,1,0,0,True,True,-80.4,0.00021242451233168444,0.00025044893845915794,0.16666666666666666
100,21,1,1,0,0,True,True,-80.89999999999999,0.00023330326768613996,0.0005143182352185249,0.047619047619047616
101,5,0,0,0,0,True,True,-90.39999999999999,0.00021014492958784103,0.00024577928707003593
102,12,1,1,0,0,True,True,-80.4,0.0002357999716574947,0.0006076977588236332,0.16666666666666666
103,14,3,3,0,0,True,True,-60.400000000000006,0.00020817347935267856,0.0002676192671060562,0.35714285714285715
104,7,1,1,0,0,True,True,-80.3,0.00021743781066366604,0.0002574091777205467,0.0
105,29,0,0,0,0,True,True,-90.9,0.0002401005316140323,0.0005518281832337379
106,20,4,4,0,0,True,True,-50.800000000000004,0.00021572925616055726,0.0002944790758192539,0.2
107,9,1,1,0,0,True,True,-80.3,0.0003361878399219778,0.0006664781831204891,0.0
108,7,1,1,0,0,True,True,-80.3,0.00021223205008677075,0.0002489890903234482,0.2857142857142857
109,9,1,1,0,0,True,True,-80.3,0.0002292089888619052,0.00027905870229005814,0.2222222222222222
110,25,1,1,0,0,True,True,-81.1,0.00023139860481023787,0.0006031878292560577,0.04
111,16,4,4,0,0,True,True,-50.49999999999999,0.00023901855456642807,0.0003444589674472809,0.375
112,5,1,1,0,0,True,True,-80.3,0.00020844554528594018,0.00024193990975618362,0.2
113,11,2,2,0,0,True,True,-70.7,0.0002111739225008271,0.00024268869310617447,0.18181818181818182
114,5,0,0,0,0,True,True,-90.39999999999999,0.0002012074925005436,0.00024033943191170692
115,5,1,1,0,0,True,True,-80.39999999999999,0.0002770150080323219,0.0006165276281535625,0.0
116,9,2,2,0,0,True,True,-70.2,0.0002342069831987222,0.0002734791487455368,0.3333333333333333
117,6,1,1,0,0,True,True,-80.2,0.00022126113375027975,0.00024237902835011482,0.3333333333333333
118,33,7,7,0,0,True,True,-21.599999999999994,0.00022636411824461186,0.00034150900319218636,0.2727272727272727
119,29,4,4,0,0,True,True,-51.100000000000016,0.00024548911585890016,0.0005869767628610134,0.1724137931034483
120,12,1,1,0,0,True,True,-80.2,0.00022818994087477526,0.0002633091062307358,0.16666666666666666
121,19,4,4,0,0,True,True,-50.5,0.0002748821126787286,0.0006127879023551941,0.2631578947368421
122,7,0,0,0,0,True,True,-90.3,0.00021658059475677355,0.00025081029161810875
123,35,3,3,0,0,True,True,-60.9,0.00026544222076024327,0.0006070183590054512,0.3142857142857143
124,14,1,1,0,0,True,True,-80.39999999999999,0.0002659704935337816,0.0006009270437061787,0.21428571428571427
125,7,1,1,0,0,True,True,-80.3,0.0003272648900747299,0.0006233979947865009,0.0
126,6,0,0,0,0,True,True,-90.2,0.00022722252955039343,0.00025920895859599113
127,8,3,3,0,0,True,True,-60.2,0.00025637890212237835,0.0005921078845858574,0.625
128,8,2,2,0,0,True,True,-70.30000000000001,0.00021776801440864801,0.0002454589121043682,0.125
129,27,6,6,0,0,True,True,-30.700000000000003,0.00025125789559549757,0.000612238422036171,0.3333333333333333
130,6,0,0,0,0,True,True,-90.39999999999999,0.00021111398624877134,0.0002548089250922203
131,5,2,2,0,0,True,True,-70.19999999999999,0.00020448127761483193,0.00024289917200803757,0.2
132,26,4,4,0,0,True,True,-50.800000000000004,0.0002555440072543346,0.0006962469778954983,0.19230769230769232
133,12,2,2,0,0,True,True,-70.6,0.0002256389707326889,0.00025686901062726974,0.08333333333333333
134,12,5,5,0,0,True,True,-40.6,0.0002686500083655119,0.0006152079440653324,0.5
135,12,2,2,0,0,True,True,-70.9,0.00019925277835379043,0.00026579899713397026,0.16666666666666666
136,16,0,0,0,0,True,True,-90.6,0.00025237398222088814,0.0005474882200360298
137,21,2,2,0,0,True,True,-70.5,0.00022748769039199467,0.00034082913771271706,0.19047619047619047
138,5,0,0,0,0,True,True,-90.2,0.00027909884229302404,0.000545768067240715
139,5,1,1,0,0,True,True,-80.39999999999999,0.00020419536158442498,0.0002344590611755848,0.0
140,5,2,2,0,0,True,True,-70.1,0.00020455513149499893,0.00023598875850439072,0.4
141,14,2,2,0,0,True,True,-70.7,0.00027440408510821205,0.0006080479361116886,0.14285714285714285
142,13,1,1,0,0,True,True,-80.3,0.0002913837177822223,0.0006289677694439888,0.0
143,5,1,1,0,0,True,True,-80.19999999999999,0.00020907307043671608,0.00024163909256458282,0.0
144,5,2,2,0,0,True,True,-70.3,0.00020370716229081153,0.00023568887263536453,0.2
145,5,1,1,0,0,True,True,-80.1,0.0002109011635184288,0.0002362588420510292,0.2
146,6,0,0,0,0,True,True,-90.5,0.00021907415551443896,0.0002534789964556694
147,5,1,1,0,0,True,True,-80.2,0.00020591514185070993,0.0002375589683651924,0.4
148,14,1,1,0,0,True,True,-80.6,0.00020906132911997183,0.00027147913351655006,0.07142857142857142
149,16,0,0,0,0,True,True,-90.89999999999999,0.00021332353935576975,0.0002845390699803829
150,5,2,2,0,0,True,True,-70.2,0.00020457357168197633,0.0002381899394094944,0.4
151,12,0,0,0,0,True,True,-90.69999999999999,0.00024683998587230843,0.0005769277922809124
152,8,0,0,0,0,True,True,-90.2,0.00022441690089181066,0.0002674190327525139
153,37,4,4,0,0,True,True,-51.100000000000016,0.00026101722205812866,0.0006118379533290863,0.13513513513513514
154,18,2,2,0,0,True,True,-70.9,0.00023889019050531916,0.0005573178641498089,0.1111111111111111
155,6,0,0,0,0,True,True,-90.2,0.00021595096526046595,0.00024479907006025314
156,12,1,1,0,0,True,True,-80.3,0.0002585656863326828,0.0006384868174791336,0.08333333333333333
157,5,2,2,0,0,True,True,-70.2,0.00020611537620425225,0.00022949930280447006,0.2
158,17,1,1,0,0,True,True,-80.5,0.0002849284723839339,0.0006604869849979877,0.17647058823529413
159,12,1,1,0,0,True,True,-80.5,0.00023754406720399857,0.0005155079998075962,0.0
160,5,1,1,0,0,True,True,-80.19999999999999,0.00021119518205523491,0.0002468191087245941,0.0
161,10,2,2,0,0,True,True,-70.6,0.00025710584595799445,0.0005853581242263317,0.1
162,5,2,2,0,0,True,True,-70.3,0.0002045571804046631,0.0002524787560105324,0.0
163,5,0,0,0,0,True,True,-90.39999999999999,0.0002131612040102482,0.0002575591206550598
164,25,4,4,0,0,True,True,-50.7,0.00025045821443200113,0.0005978881381452084,0.28
165,10,2,2,0,0,True,True,-70.39999999999999,0.00026515410281717776,0.0006444677710533142,0.3
166,5,2,2,0,0,True,True,-70.19999999999999,0.00020976737141609192,0.00023891916498541832,0.4
167,6,0,0,0,0,True,True,-90.4,0.000275792321190238,0.0005342378281056881
168,33,4,4,0,0,True,True,-51.70000000000002,0.000271534871761546,0.0006254878826439381,0.2727272727272727
169,6,0,0,0,0,True,True,-90.6,0.00020704627968370914,0.00024271896108984947
170,11,1,1,0,0,True,True,-80.3,0.00024539545517076147,0.0005939877592027187,0.09090909090909091
171,10,0,0,0,0,True,True,-90.69999999999999,0.00022711912170052527,0.0002643587067723274
172,12,0,0,0,0,True,True,-90.5,0.0003158514543126027,0.0006343680433928967
173,60,3,3,0,0,True,True,-62.20000000000001,0.00025844924772779146,0.0006313081830739975,0.1
174,18,3,3,0,0,True,True,-60.7,0.00025191584912439186,0.0006254180334508419,0.3333333333333333
175,28,4,4,0,0,True,True,-50.900000000000006,0.0002539351948403886,0.0006325780414044857,0.17857142857142858
176,6,0,0,0,0,True,True,-90.39999999999999,0.0002711470394084851,0.0006194678135216236
177,11,1,1,0,0,True,True,-80.5,0.0002217452803795988,0.000243449117988348,0.09090909090909091
